WSR_AV	T_PK	RH50	HT50	V70	CLASS
3.6	23.5	0.33	5805	0.74	0
3.4	24.7	0.69	5815	4.96	0
2.8	21.3	0.27	5800	3.62	0
2.1	17.2	0.49	5760	-3.9	0
1.4	22.6	0.11	5720	-3.4	0
3.3	24.2	0.04	5745	-4.21	0
2.2	26.7	0.07	5800	1.06	0
1.2	29.3	0.04	5835	-3.45	0
2.5	29.1	0.33	5845	-4.38	0
4	29	0.21	5850	-1.81	0
2.1	29.2	0.54	5870	4.67	0
2.6	25.6	0.23	5825	-10.02	0
3	28.8	0.71	5790	3.13	0
1.5	27.8	0.04	5780	-12.05	0
1.1	29.3	0.45	5785	-11.27	1
2.1	29.4	0.22	5800	-12.68	0
1.4	29.1	0.62	5800	-1.8	0
2.4	26.8	0.03	5805	-7.41	0
4.2	25.5	0.18	5825	2.61	0
2.4	27.6	0.26	5820	5.82	0
2.4	23.3	0.68	5780	10.94	0
2.7	27.6	0.38	5780	4.23	0
3.4	28	0.46	5795	5.65	0
4.2	29.1	0.54	5815	3.12	0
3.7	29.2	0.44	5850	-2.26	0
3.3	30.1	0.37	5845	-0.66	0
2.9	29.7	0.07	5830	5.64	0
2.6	30	0.36	5845	-0.69	0
3.9	30.1	0.06	5870	2.18	0
3.4	30.8	0.1	5865	3.28	0
2.4	26.1	0.51	5840	0.44	0
2.1	26.7	0.25	5835	-4.02	0
2.5	28.2	0.16	5845	-2.31	1
3.4	30.2	0.18	5875	-3.32	0
4.6	30.6	0.15	5890	5.11	0
4.2	29.6	0.07	5885	13.84	0
3.1	29.6	0.04	5885	10.92	0
1.8	25.9	0.48	5840	8.96	0
1.3	29.6	0.02	5825	1.32	0
1.8	31.4	0.08	5825	-5.04	0
3.5	31.3	0.08	5875	3.29	0
4.5	31.6	0.02	5870	8.75	0
3.2	32.6	0.03	5870	10.34	0
1.7	30.8	0.25	5875	4.32	0
1.4	32.3	0.04	5875	-2.28	0
1.6	32.7	0.06	5880	-2.29	0
2.1	31.7	0.06	5895	-0.17	0
2	30.9	0.02	5900	4.55	0
1.8	31.7	0.02	5915	1.7	0
2.1	28.6	0.29	5875	-0.48	0
2	26.7	0.72	5855	3.95	0
2.2	28.3	0.45	5850	-2.91	0
1.9	28.8	0.03	5880	-0.11	0
2.5	28.7	0.02	5880	1.71	0
2.3	28.3	0.37	5880	5.64	0
2.8	29.8	0.59	5875	7.55	0
2.5	29.2	0.22	5790	2.33	0
1.9	30.7	0.02	5910	-0.28	0
2.2	31.7	0.18	5890	2.02	0
3	31.3	0.29	5870	6.39	0
2.8	32.6	0.4	5860	3.21	0
3.3	32.3	0.29	5920	4.12	0
2.8	32.7	0.2	5915	4.79	0
2.4	33.7	0.2	5900	3.89	0
2.5	33.6	0.03	5900	-0.03	0
2.4	32.6	0.06	5895	-0.13	0
1.8	33.1	0.68	5885	2.98	0
1.6	32.6	0.49	5885	-1.7	0
1.9	34.1	0.72	5880	-1.14	0
2.6	32.8	0.58	5885	-1.59	0
2.7	33.6	0.58	5885	-0.65	0
2.5	33.6	0.61	5890	-0.38	0
2.3	32.3	0.27	5900	2.06	0
1.5	33.4	0.02	5895	0.11	1
1.4	35.2	0.14	5905	-0.9	1
1.5	35.3	0.22	5920	2.51	1
1.9	34.3	0.36	5925	2.03	0
2.3	34.4	0.18	5925	3.97	0
2.5	35.7	0.31	5930	1.57	0
2.6	37.1	0.18	5925	-0.55	0
2.3	37.3	0.26	5920	-2.55	0
2.2	37.7	0.46	5915	-3.48	0
2.2	38.4	0.12	5905	-8.45	0
2.1	37.8	0.06	5895	-2.86	0
2.5	37.5	0.67	5945	0.95	0
2.5	37.7	0.34	5930	0.62	0
2.3	36.1	0.43	5900	-0.47	0
2.2	35.6	0.2	5895	-3.83	0
1.8	34.2	0.03	5860	-7.8	1
1.6	34.1	0.02	5865	-3.82	1
1.5	34.2	0.16	5865	-1.81	0
2	33.7	0.14	5875	0.47	0
2.5	34.5	0.26	5875	2.11	0
2.2	33.6	0.33	5870	0.97	0
1.6	33.6	0.03	5865	-2.67	1
1.7	31.9	0.2	5885	0.68	0
2.3	33.9	0.19	5925	0.2	0
2.3	34.9	0.06	5920	-1.21	0
2.1	33.2	0.1	5925	0.41	0
1.6	32.9	0.35	5925	4.95	0
1.9	36.5	0.3	5915	-3.1	0
1.2	36	0.49	5895	-4.89	1
1.8	35.9	0.09	5890	-5.27	0
2.5	33.6	0.11	5900	-0.76	0
2	34.1	0.42	5930	3.57	0
1.5	36.4	0.34	5945	-1.54	0
2.4	36	0.31	5935	-2.92	1
1.5	35.9	0.08	5930	5.24	0
1.6	35.7	0.03	5930	1.03	1
1.7	35.9	0.18	5930	2.86	0
1.7	35.8	0.22	5920	1.23	1
1.5	31.4	0.65	5920	2.63	0
1.6	29.5	0.72	5920	-0.59	0
1.1	32.9	0.81	5925	0.38	0
1.5	33.8	0.54	5925	1.64	1
1.5	34.8	0.09	5900	0.86	0
1.8	34.4	0.06	5900	3.93	0
1.8	35.2	0.11	5910	4.88	0
1.3	36.8	0.21	5925	5.49	1
1.8	38.9	0.08	5915	0.35	0
1.9	40.4	0.26	5900	-6.55	1
2.5	40.1	0.78	5890	-8.23	0
1.7	38.9	0.72	5895	-4.18	0
2.2	39.6	0.1	5890	-10.29	0
2.1	41.6	0.1	5895	-12.52	0
1.6	40.3	0.21	5905	-13.32	0
3	29.7	0.72	5845	4.01	0
1.7	31.3	0.66	5865	7	0
1.8	31.7	0.19	5890	3.84	0
1.5	30.8	0.35	5880	0.85	0
2.1	33.2	0.78	5880	-5.1	0
2	31	0.03	5865	-8.37	0
1.5	30.6	0.04	5860	-6.68	0
1.1	31	0.04	5870	-4.33	1
1.5	31.8	0.07	5870	3.25	0
2.9	32.2	0.05	5875	10.05	0
2.2	29.4	0.79	5860	9.95	0
2.6	32.7	0.73	5855	7.87	0
3.1	33	0.32	5890	5.79	0
2.7	34.1	0.31	5905	4.14	0
4.4	21.5	0.22	5875	4.7	0
1.9	22.1	0.01	5870	-5.04	0
1.3	26.4	0.01	5900	-4	0
1.5	28.6	0.06	5890	-5.05	0
1.4	28.7	0.2	5845	-5.33	0
