lowprice	openprice	closeprice	volume
4	8	12	17
4	8	12	18
5	11	15	16
5	10	12	16
5	10	14	16
5	10	12	18
4	8	12	18
4	8	12	18
5	8	14	18
5	10	13	16
5	10	14	16
7	9	13	16
4	8	12	18
5	8	14	18
6	8	14	16
7	9	15	16
6	8	13	16
6	8	15	16
4	10	12	16
5	9	13	18
6	8	12	18
4	8	12	17
4	8	12	18
5	11	15	16
5	10	12	16
4	8	12	17
4	8	12	18
5	11	15	16
5	10	12	16
5	10	14	16
5	10	12	18
4	8	12	18
4	8	12	18
5	8	14	18
4	8	12	17
4	8	12	18
4	8	12	17
4	8	12	18
4	8	12	17
4	8	12	18
4	8	12	17
4	8	12	18
4	8	12	17
4	8	12	18
4	8	12	17
4	8	12	17
4	8	12	18
4	8	12	17
4	8	12	18
4	8	12	17
4	8	12	18
4	8	12	18
5	10	13	16
5	10	14	16
7	9	13	16
4	8	12	18
5	8	14	18
