WSR_AV	T_PK	RH50	HT50	V70	CLASS
3.5	22.2	0.6	5790	4.42	0
3.2	19.6	0.49	5775	8.11	0
5.2	15.8	0.84	5695	15.34	0
3.9	14.9	0.2	5515	8.03	0
1.7	22.3	0.08	5680	0.09	0
2.7	22.3	0.11	5715	-0.51	0
2	24.2	0.39	5740	25.54	0
2.3	19	0.48	5750	1.88	0
1.9	16.8	0.49	5740	1.02	0
4	13.4	0.36	5660	2.93	0
2.4	21.2	0.36	5585	-10.39	0
2	19.6	0.17	5720	-1.77	0
3.5	24.1	0.06	5755	-4.02	0
2.4	16.6	0.28	5730	-4.69	0
2.9	19.4	0.15	5745	-2.5	0
2.4	22.9	0.02	5710	6.16	0
2.2	15.3	0.32	5645	1.44	0
1.1	15.3	0.22	5655	-5.43	0
2.6	17.3	0.24	5710	-2.63	0
4.4	18.7	0.43	5655	5.86	0
1.9	17.4	0.22	5615	-8.5	0
2.1	20.1	0.23	5755	-6.74	0
1.2	23.1	0.14	5740	1.48	0
1.2	23	0.2	5655	-5.11	0
3.5	19.4	0.29	5660	-3.78	0
3	15.4	0.58	5660	8.78	0
3.9	13.6	0.69	5635	-0.92	0
3.2	19.5	0.31	5620	-12.99	0
1.7	17.8	0.33	5650	-14.64	0
3	13.2	0.32	5550	-3.78	0
1.9	15.4	0.22	5580	-11.23	0
1.7	20.6	0.22	5640	-10.61	0
2.7	24.6	0.18	5690	-6.93	0
4	19.6	0.38	5705	12.68	0
2.1	18.8	0.18	5675	-2.82	0
1.4	19.6	0.25	5625	1.39	0
2.5	17.6	0.44	5730	-0.8	0
3	13.9	0.83	5680	10.99	0
1.8	16.5	0.14	5560	1.81	0
3.3	14.3	0.54	5480	6.98	0
2.9	20.3	0.53	5650	5.85	0
1.4	20.1	0.2	5640	-1.32	0
3.3	16.9	0.2	5710	1.46	0
3.5	13.8	0.57	5615	11.26	0
1.5	21.9	0.14	5635	-13.42	0
3.1	24.3	0.25	5775	-7.44	0
3.1	21.1	0.21	5675	13.47	0
1.1	21.2	0.53	5595	7.61	0
2.1	17.3	0.24	5590	5.2	0
2.2	18.7	0.17	5555	-8.33	0
1.7	16.6	0.25	5590	-9.25	0
3.7	21.6	0.24	5640	-5.19	0
2.7	28.3	0.08	5695	7.55	0
2.6	20.3	0.32	5735	1.19	0
2.6	25.1	0.82	5715	13.06	0
6.4	13.9	0.24	5625	16.15	0
2.8	12.8	0.16	5680	-9.31	0
1.5	15.8	0.16	5705	-10.23	0
3.1	17.9	0.55	5755	-2.48	0
5.2	19.7	0.29	5770	3.8	0
3.4	22.6	0.36	5755	19.38	0
1.8	24.2	0.48	5675	13.26	0
2.6	24.6	0.17	5705	5.82	0
1.3	21.6	0.1	5655	-7.66	0
2.7	24.9	0.23	5685	-9.39	0
5.5	25	0.17	5870	9.73	0
5.1	25.6	0.18	5860	15.49	0
3.4	27.5	0.07	5800	8.69	0
4.8	27.8	0.09	5820	7.62	0
5.9	26.8	0.01	5815	10.79	0
2.7	23.4	0.12	5760	15.61	0
3.3	27.7	0.02	5785	9.35	0
