Lan	Lon	Dist	Prec	Esti	Obs	IR
38.57	94.24	12	0.9	1.1	0.2	Y
38.52	94.02	13	1.4	1.5	0.1	Y
38.49	94.4	21	0.9	0.6	-0.4	Y
38.59	94.43	27	0.7	0.6	-0.2	Y
38.29	94.36	28	1.5	1.5	0	Y
38.4	94.54	35	0.8	1.5	0.7	N
38.24	93.46	38	3.5	5	1.5	N
39.22	94.2	38	0.7	1.5	0.8	N
39.19	94.43	42	0.46	0.6	0.1	Y
39.23	94.33	42	0.7	0.6	-0.2	Y
38.12	94.02	43	2.8	5	2.2	N
38.37	95.17	56	1	1.5	0.5	Y
39.07	93.13	60	1.7	4.5	2.8	N
38.06	95.01	63	2	2.5	0.5	Y
39.07	95.25	65	0.2	0.1	-0.2	N
37.51	94.24	66	8.6	10	1.4	Y
38.39	95.34	71	0.6	0.6	0	Y
39.04	95.38	75	0.16	0.5	0.3	Y
37.51	94.58	76	2.1	2.5	0.4	Y
37.55	93.19	80	3.6	4	0.4	Y
37.42	93.47	80	3.7	3.5	-0.2	Y
38.3	95.42	80	0.8	1.1	0.3	Y
39.01	92.46	81	3	7.5	4.5	N
40.02	94.08	84	0.6	0.6	0	Y
37.55	95.26	88	1.5	3	1.5	N
39.4	95.31	89	0.3	0.1	-0.3	N
38.15	95.45	89	1.3	2	0.7	Y
37.36	93.25	95	3.8	3	-0.8	Y
37.23	93.57	99	2.7	2.5	-0.2	Y
39.24	92.26	106	2	3	1	Y
38.49	92.13	110	3.24	2.5	-0.7	N
37.13	93.49	112	2.7	1.1	-1.7	N
38.35	92.11	113	3.7	4	0.3	Y
39.44	92.29	114	0.9	0.6	-0.4	Y
37.45	95.56	116	1.3	1.5	0.2	Y
37.14	93.23	118	1.81	0.6	-1.3	N
38.51	91.57	124	3.1	1.1	-2.1	N
36.59	94.32	126	3.8	1.1	-2.8	N
38.57	91.54	127	2.72	0.6	-2.2	N
37.11	95.27	129	3.5	3	-0.5	Y
38.12	91.59	130	3	0.6	-2.5	N
36.51	94.37	136	2.7	0.6	-2.2	N
29.28	95.05	0	4.34	0.6	-3.8	N
29.43	95.08	17	18.98	8	-11	N
29.45	95.17	22	21.23	8	-13.2	N
29.5	95	25	25.66	10.5	-15.2	N
29.4	95.28	26	15.54	6.5	-9	N
29.47	95.26	30	10.33	4	-6.3	N
29.55	95.09	31	21.73	7.5	-14.2	N
