WSR_AV	T_PK	RH50	HT50	V70
3.5	22.2	0.6	57.90	4.42
3.2	19.6	0.49	57.75	8.11
5.2	15.8	0.84	56.95	15.34
3.9	14.9	0.2	55.15	8.03
1.7	22.3	0.08	56.80	0.09
2.7	22.3	0.11	57.15	-0.51
2	24.2	0.39	57.40	25.54
2.3	19	0.48	57.50	1.88
1.9	16.8	0.49	57.40	1.02
4	13.4	0.36	56.60	2.93
2.4	21.2	0.36	55.85	-10.39
2	19.6	0.17	57.20	-1.77
3.5	24.1	0.06	57.55	-4.02
2.4	16.6	0.28	57.30	-4.69
2.9	19.4	0.15	57.45	-2.5
2.4	22.9	0.02	57.10	6.16
2.2	15.3	0.32	56.45	1.44
1.1	15.3	0.22	56.55	-5.43
2.6	17.3	0.24	57.10	-2.63
4.4	18.7	0.43	56.55	5.86
1.9	17.4	0.22	56.15	-8.5
2.1	20.1	0.23	57.55	-6.74
1.2	23.1	0.14	57.40	1.48
1.2	23	0.2	56.55	-5.11
3.5	19.4	0.29	56.60	-3.78
3	15.4	0.58	56.60	8.78
3.9	13.6	0.69	56.35	-0.92
3.2	19.5	0.31	56.20	-12.99
1.7	17.8	0.33	56.50	-14.64
3	13.2	0.32	55.50	-3.78
1.9	15.4	0.22	55.80	-11.23
1.7	20.6	0.22	56.40	-10.61
2.7	24.6	0.18	56.90	-6.93
4	19.6	0.38	57.05	12.68
2.1	18.8	0.18	56.75	-2.82
1.4	19.6	0.25	56.25	1.39
2.5	17.6	0.44	57.30	-0.8
3	13.9	0.83	56.80	10.99
1.8	16.5	0.14	55.60	1.81
3.3	14.3	0.54	54.80	6.98
2.9	20.3	0.53	56.50	5.85
1.4	20.1	0.2	56.40	-1.32
3.3	16.9	0.2	57.10	1.46
3.5	13.8	0.57	56.15	11.26
1.5	21.9	0.14	56.35	-13.42
3.1	24.3	0.25	57.75	-7.44
3.1	21.1	0.21	56.75	13.47
1.1	21.2	0.53	55.95	7.61
2.1	17.3	0.24	55.90	5.2
2.2	18.7	0.17	55.55	-8.33
1.7	16.6	0.25	55.90	-9.25
3.7	21.6	0.24	56.40	-5.19
2.7	28.3	0.08	56.95	7.55
2.6	20.3	0.32	57.35	1.19
2.6	25.1	0.82	57.15	13.06
6.4	13.9	0.24	56.25	16.15
2.8	12.8	0.16	56.80	-9.31
1.5	15.8	0.16	57.05	-10.23
3.1	17.9	0.55	57.55	-2.48
5.2	19.7	0.29	57.70	3.8
3.4	22.6	0.36	57.55	19.38
1.8	24.2	0.48	56.75	13.26
2.6	24.6	0.17	57.05	5.82
1.3	21.6	0.1	56.55	-7.66
2.7	24.9	0.23	56.85	-9.39
5.5	25	0.17	58.70	9.73
5.1	25.6	0.18	58.60	15.49
3.4	27.5	0.07	58.00	8.69
4.8	27.8	0.09	58.20	7.62
5.9	26.8	0.01	58.15	10.79
2.7	23.4	0.12	   57.60	15.61
3.3	27.7	0.02	57.85	9.35
2.2	23	0.12	57.75	-1.16
2.2	22.2	0.1	57.55	-10.6
2.9	22.3	0.05	57.70	1.18
2.1	29.9	0.39	57.75	5.26
3.3	29.4	0.03	57.60	5.66
1.6	25.3	0.12	57.45	-15.37
2.6	24.6	0.15	57.95	-14.05
2.8	26.6	0.22	57.90	-0.71
3.2	26.9	0.05	57.95	3.72
3	29.8	0.34	57.90	12.55
3.6	19.1	0.9	58.00	11.39
2.1	14.3	0.61	57.70	11.41
2.1	23.2	0.45	57.20	4.07
1.6	24.2	0.31	57.40	-5.64
2.9	21.4	0.54	57.35	-2.21
1.8	24.3	0.14	56.85	-12.69
1.5	26.3	0.14	56.80	-11.93
3.1	27	0.15	57.30	-15.95
4.2	25.1	0.13	57.90	-2.78
3.8	23.8	0.18	58.05	7.23
2.3	26.3	0.02	57.75	8.27
2.5	23.3	0.18	57.80	14.14
2.5	23.7	0.45	57.80	4.88
1.6	28.9	0.22	57.45	0.18
2.6	31.7	0.21	57.10	-4.31
2.3	29.7	0.16	57.30	-5.14
1.8	30.3	0.58	57.60	-5.43
2.5	29.1	0.55	57.65	-3.92
2.3	31.7	0.06	58.05	3.93
2.4	34	0.49	58.40	13.74
2.5	30.8	0.13	58.25	-0.63
2.3	30.7	0.14	58.35	-13.41
2.9	29.2	0.21	58.30	0.3
3	26.9	0.19	58.65	3.03
4	29.7	0.08	59.15	7.67
3.1	32.2	0.43	59.40	6.8
1.8	31.8	0.33	59.35	4.49
1.6	33.9	0.62	59.35	-1.72
1.5	34.4	0.59	59.35	-1.76
1.6	33.2	0.58	59.30	-2.28
2.1	32.9	0.4	59.35	-2.67
2.8	33.1	0.53	59.40	-4.83
3.3	32.2	0.74	59.05	-2.24
2.8	30.9	0.49	59.05	3.6
3.1	32	0.49	59.15	3.78
2.5	32.6	0.71	58.65	-0.02
1.5	35.6	0.44	58.80	2.05
1.5	35.9	0.19	58.90	-1.56
1.7	36.9	0.15	58.95	-6.96
2.3	37.5	0.09	59.05	-5.54
2.5	37.2	0.04	59.45	-5.31
3.3	35.6	0.03	59.40	1.73
3.9	33.1	0.03	59.35	6.88
3.9	33.9	0.12	58.95	12.21
2.9	24.4	0.73	58.65	5.32
3.1	30.5	0.03	58.90	-6.14
4.5	32.4	0.06	59.10	1.22
2.8	36.5	0.15	58.75	-2.2
2.4	36.6	0.23	58.60	2.86
4.4	34.3	0.12	59.15	2.23
4	35.7	0.53	59.40	7.03
3.7	36.8	0.25	59.35	4.99
3.4	36.2	0.71	59.15	1.99
2.1	33.9	0.16	59.10	4.53
2.5	36.4	0.36	59.15	5.42
2.7	35	0.5	59.15	1.84
2.4	32.5	0.24	59.15	3.18
2.1	34.2	0.41	59.00	2.06
2.1	30.3	0.78	59.00	1.91
3.2	34.1	0.18	59.20	4.51
2.7	35.4	0.02	59.20	0.93
2.3	34.7	0.3	59.30	-0.87
2.8	29.3	0.45	59.40	4.02
2.7	34.6	0.76	59.30	11.42
2.1	36.1	0.63	59.45	1.9
1.8	37.7	0.67	59.45	-1.54
2.3	37.3	0.42	59.45	1.99
2.5	38.2	0.1	59.45	0.31
2.7	38.7	0.15	59.45	1.16
3.3	38.6	0.17	59.30	0.2
3.1	35.9	0.66	58.95	-0.68
2.4	37.6	0.54	58.75	0.27
1.8	34.2	0.59	59.10	0.53
2.5	36.3	0.15	59.35	-0.12
2.1	37.4	0.59	59.40	-0.39
2.3	37.3	0.79	59.25	-2.02
2.5	36.6	0.44	59.25	-0.08
1.8	39.1	0.28	59.50	-0.2
1.7	39.1	0.19	59.65	-2.96
1.8	39.5	0.17	59.55	-1.99
1.7	38	0.62	59.20	-9.57
2	37.2	0.12	59.20	-4.87
1.6	37.2	0.09	59.25	-3.69
1.7	37	0.41	59.25	-1.5
1.7	36.6	0.12	59.30	-1.79
1.8	36.3	0.12	59.10	-0.29
2.6	36.2	0.4	59.20	0.33
1.4	34.9	0.84	58.60	-0.18
1.6	34	0.21	58.70	0.65
1	34.1	0.21	59.10	-1.29
1.4	32.7	0.74	59.20	-0.08
1.6	35.3	0.2	59.00	-3.91
2.7	30.7	0.68	59.20	1.43
3	28.1	0.87	59.15	2.3
2.1	30.9	0.62	59.15	3.61
1.5	33.7	0.46	59.05	0.81
1.3	33.8	0.34	59.05	-0.93
1.1	35.8	0.01	59.25	-1.13
1.7	33.9	0.37	59.10	-1.7
1.7	32.3	0.42	58.85	2.21
2.1	33.9	0.62	58.60	-2.28
1.1	36.5	0.14	58.50	-10.57
1.7	35.7	0.05	58.85	-8.75
1.6	31.6	0.44	59.05	3.52
2.6	31.6	0.4	58.60	0.74
3.7	33.5	0.29	58.60	-2.23
6	25.6	0.81	58.55	2.7
4.9	28.6	0.77	58.55	13.28
3.4	28	0.82	58.50	17.09
1.7	29.3	0.7	58.60	7.18
2.2	28.5	0.44	58.90	5.58
2.2	32.5	0.62	58.75	1.25
2	33	0.39	58.65	-5.04
1	32.2	0.43	58.55	-1.2
1.1	33.7	0.31	58.65	-0.49
1.3	33.8	0.68	58.80	0.1
1.4	33.4	0.19	59.10	-3.54
1.9	32.1	0.05	59.20	-2.43
1.7	29.4	0.05	59.20	0.56
1	33.4	0.03	59.15	-4.74
1.6	34.8	0.16	58.75	-15.27
1	34.8	0.18	58.80	-14.87
2.7	31.5	0.14	58.95	5.8
2.2	32.6	0.53	58.75	3.8
2.7	30.5	0.7	58.75	2.96
4.2	32.4	0.55	58.60	0.65
2.6	27.9	0.24	58.70	13.21
2.6	28.1	0.76	58.70	1.79
2.1	14.2	0.06	57.45	-6.82
3.1	22.9	0.2	58.10	0.4
2.8	15.5	0.5	58.95	5.35
2.5	15.3	0.85	58.55	9.22
2	15.8	0.85	58.15	10.4
2.1	17.2	0.62	57.50	4.32
1.5	23.3	0.14	57.80	-3.74
1.6	23.2	0.06	58.30	-0.81
2.1	24.7	0.03	58.55	2.18
2.8	17.2	0.15	58.10	0.4
1.2	25.4	0.04	58.45	-0.53
1.4	25.1	0.02	58.80	-3.43
1.4	26.8	0.02	58.55	0.13
0.8	26.5	0.1	58.50	-3.9
1.7	26.9	0.08	58.85	2.49
2	26.1	0.1	58.80	0.96
2.9	26.9	0.03	58.65	4.78
1.8	27	0.07	58.55	13.47
0.9	25.3	0.05	58.85	-1.71
1.2	26.1	0.03	58.95	1.99
2.9	26.7	0.02	58.60	6.08
3.6	27.4	0.11	58.25	7.83
3.1	27.8	0.02	58.35	3.67
3.4	28.4	0.15	58.25	13.19
2.6	15.4	0.27	58.30	3.97
4	11.6	0.37	58.30	10.01
3.3	8.6	0.78	58.25	7.19
3.8	8.6	0.17	57.85	13
1.7	16.8	0.01	57.70	0.81
0.8	17.4	0.05	57.70	-10.11
0.9	16.3	0.04	57.25	-10.5
2.9	20.3	0.03	58.00	-1.16
1.6	25.1	0.49	57.60	9.32
2.4	24.2	0.02	58.50	3.55
3.7	25.7	0.02	58.70	6.09
4.6	5.1	0.32	58.55	6.06
2	4.4	0.98	58.05	7.61
1.1	13.2	0.54	57.45	-5.88
1.3	20.9	0.09	57.95	2.46
1.9	17.5	0.07	57.70	0.06
2.1	22.2	0.33	57.50	1.63
